	id	sentence	Past	Future
0	Clinton_1993_191	If we just stay with the same trends of the last 4 years, by the end of the decade the deficit will be $635 billion a year, almost 80 percent of our gross domestic product.	1.0	1.0
1	Ford_1976_48	Friends and adversaries abroad were asking whether America had lost its nerve.	1.0	0.0
2	Coolidge_1923_288	He represents a character, a type of citizenship, and a public necessity that must be preserved and afforded every facility for regaining prosperity.	1.0	1.0
3	Roosevelt_1905_232	Yet, in speaking of economy, I must in no wise be understood as advocating the false economy which is in the end the worst extravagance.	0.0	1.0
4	Carter_1981_192	Our record has produced clear progress in the effort to solve some of the country's fundamental human and social problems.	1.0	0.0
5	Roosevelt_1901_172	This means that we should require a more thorough system of inspection abroad and a more rigid system of examination at our immigration ports, the former being especially necessary.	0.0	1.0
6	Roosevelt_1939_12	In a modern civilization, all three--religion, democracy and international good faith--complement and support each other.	0.0	0.0
7	Nixon_1970_111	They live in the foothills of everyday experience, and it is time for all of us to concern ourselves with the way real people live in real life.	0.0	1.0
8	Coolidge_1926_427	They are useless if they are only visionary; they are only valuable if they are practical.	0.0	1.0
9	Carter_1978_51	We must continue the recovery and further cut unemployment and inflation.	0.0	1.0
10	Truman_1946_1256	They must not prevail.	0.0	1.0
11	Hoover_1929_354	Indeed, these are the fundamental principles upon which our Government was founded, and they are the principles which have been adhered to in the whole development of our business structure, and they are the distillation of the common sense of generations.	1.0	0.0
12	Ford_1977_80	I am gratified by these accomplishments.	1.0	0.0
13	Taft_1911_612	This commission was appointed and has been at work, holding hearings, gathering data, and considering the subject, and it is expected will be able to report by the first of the year, in accordance with the provisions of the law.	1.0	1.0
14	Obama_2010_31	They are tired of the partisanship and the shouting and the pettiness.	1.0	1.0
15	Roosevelt_1908_571	In the stress of modern industrial competition no business firm could succeed if those responsible for its management were chosen simply on the ground that they were the oldest people in its employment; yet this is the course advocated as regards the Army, and required by law for all grades except those of general officer.	0.0	1.0
16	Carter_1981_212	The report signals the growing consensus that the Nation's health strategy must be refocused in the 1980's to emphasize the prevention of disease.	1.0	1.0
17	Trump_2017_25	But then the quiet voices became a loud chorus, as thousands of citizens now spoke out together, from cities small and large, all across our country.	1.0	0.0
18	Taft_1909_373	The South especially is manifesting its interest in this movement.	0.0	1.0
19	Eisenhower_1958_42	Even if we assume a surprise attack on our bases, with a marked reduction in our striking power, our bombers would immediately be on their way in sufficient strength to accomplish this mission of retaliation.	0.0	1.0
20	Coolidge_1926_44	TAX REDUCTION  As a result of economy of administration by the Executive and of appropriation by the Congress, the end of this fiscal year will leave a surplus in the Treasury estimated at $383,000,000.	1.0	1.0
21	Roosevelt_1906_557	This result has been brought about by Canadian and some other sealing vessels killing the female seals while in the water during their annual pilgrimage to and from the south, or in search of food.	1.0	0.0
22	Roosevelt_1908_85	To accomplish this, means of course a certain increase in the use of--not the creation of--power, by the Central Government.	0.0	1.0
23	Coolidge_1924_136	NATIONAL ELECTIONS  Nothing is so fundamental to the integrity of a republican form of government as honesty in all that relates to the conduct of elections.	0.0	0.0
24	Coolidge_1927_432	Our financial favors are widespread.	0.0	0.0
25	Roosevelt_1903_238	The Philippines should be knit closer to us by tariff arrangements.	0.0	1.0
26	Roosevelt_1945_123	Since that time the Army has tried to raise the additional 10,000.	1.0	0.0
27	Trump_2017_220	We will always honor their memory.	1.0	1.0
28	Bush_2005_62	With each passing year, fewer workers are paying ever- higher benefits to an ever-larger number of retirees.	1.0	1.0
29	Truman_1953_142	Our whole moral position, our leadership in the free world today, is fortified by that fact.	1.0	0.0
30	Coolidge_1925_99	TAXATION  The purpose of reducing expenditures is to secure a reduction in taxes.	0.0	0.0
31	Roosevelt_1942_148	We can well say that our men on the fighting fronts have already proved that Americans today are just as rugged and just as tough as any of the heroes whose exploits we celebrate on the Fourth of July.	1.0	0.0
32	Obama_2012_277	A return to the American values of fair play and shared responsibility will help us protect our people and our economy.	1.0	1.0
33	Roosevelt_1937_37	I do not suggest that every farm family has the capacity to earn a satisfactory living on its own farm.	0.0	0.0
34	Roosevelt_1901_474	Above all, gunnery practice should be unceasing.	0.0	1.0
35	Roosevelt_1906_123	"Be it remembered, furthermore, that the individuals who, whether from folly, from evil temper, from greed for office, or in a spirit of mere base demagogy, indulge in the inflammatory and incendiary speeches and writings which tend to arouse mobs and to bring about lynching, not only thus excite the mob, but also tend by what criminologists call ""suggestion,"" greatly to increase the likelihood of a repetition of the very crime against which they are inveighing."	1.0	1.0
36	Carter_1978_105	As the economy continues to gain strength and as our unemployment rates continue to fall, revenues will grow.	0.0	1.0
37	Roosevelt_1907_410	We have made a beginning in forest preservation, but it is only a beginning.	1.0	1.0
38	Eisenhower_1958_84	The productivity, the adaptability of the American economy is the solid foundation-stone of our security structure.	0.0	0.0
39	Johnson_1968_82	We ask now, not how can we achieve abundance?--but how shall we use our abundance?	0.0	1.0
40	Taft_1912_213	In the matter of the claim of John Celestine Landreau against the Government of Peru, which claim arises out of certain contracts and transactions in connection with the discovery and exploitation of guano, and which has been under discussion between the two Governments since 1874, I am glad to report that as the result of prolonged negotiations, which have been characterized by the utmost friendliness and good will on both sides, the Department of State has succeeded in securing the consent of Peru to the arbitration of the claim, and that the negotiations attending the drafting and signature of a protocol submitting the claim to an arbitral tribunal are proceeding with due celerity.	1.0	1.0
41	Roosevelt_1901_425	In other words, it is really a guaranty of the commercial independence of the Americas.	0.0	1.0
42	Reagan_1982_192	Now, some of those I met with were a little surprised that I didn't apologize for America's wealth.	1.0	0.0
43	Reagan_1988_190	But let's have no illusions.	0.0	0.0
44	Truman_1946_408	For example, the kinds of tax measures we have at different times--whether we raise our revenue in a way to encourage consumer spending and business investment or to discourage it--have a vital bearing on this question.	0.0	0.0
45	Reagan_1988_28	And if we will work together this year, I believe we can give a future President and a future Congress the chance to make that prosperity, that peace, that freedom not just the state of our Union but the state of our world.	0.0	1.0
46	Roosevelt_1908_163	On the whole there is no body of public servants who do as valuable work, nor whose moneyed reward is so inadequate compared to their work.	0.0	0.0
47	Bush_2007_228	Americans can have confidence in the outcome of this struggle, because we are not in this struggle alone.	0.0	1.0
48	Roosevelt_1936_83	I spoke of the rulers of the exchanges of mankind's goods, who failed through their own stubbornness and their own incompetence.	1.0	0.0
49	Coolidge_1925_204	We have more at stake than any one else in avoiding a repetition of that calamity.	1.0	1.0
50	Obama_2012_175	After all, innovation is what America has always been about.	1.0	0.0
52	Carter_1979_123	If the Soviet Union continues to negotiate in good faith, a responsible SALT agreement will be reached.	0.0	1.0
53	Carter_1981_843	Expiration of the Food and Agriculture Act of 1977 later this year will require early attention by the Congress.	1.0	1.0
54	Trump_2017_286	The time for small thinking is over.	1.0	1.0
55	Wilson_1915_158	It seems to me a clear dictate of prudent statesmanship and frank finance that in what we are now, I hope, about to undertake we should pay as we go.	0.0	1.0
56	Truman_1946_1127	I hope it will be continued and expanded.	0.0	1.0
57	Taft_1909_126	After a thorough examination of the Conventions and of the several contextual documents, the Secretary of State reached the conclusion that no such monopoly was intended or accomplished.	1.0	0.0
58	Reagan_1983_129	After 2 years of debate, it's time for us to get together and enact a port modernization bill.	1.0	1.0
59	Obama_2010_253	I agree, which is why this freeze will not take effect until next year, when the economy is stronger.	0.0	1.0
60	Truman_1950_35	Our tremendous strength has brought with it tremendous responsibilities.	0.0	1.0
61	Bush_2007_138	They want to overthrow moderate governments and establish safe havens from which to plan and carry out new attacks on our country.	0.0	1.0
62	Truman_1948_188	Our efforts to reach agreements on peace settlements for these countries have so far been blocked.	1.0	1.0
63	Truman_1946_1124	The lands involved in this program can contribute fully to the national welfare only when brought into the national forest system for protection and development.	0.0	1.0
64	Obama_2011_194	South Korean homes now have greater Internet access than we do.	0.0	0.0
65	Truman_1946_929	Heavy purchases by the banks were necessary to provide adequate funds to finance war expenditures.	1.0	0.0
66	Roosevelt_1905_772	Unless the Congress shall appropriate before that time all work must cease.	0.0	1.0
