	id	sentence	Past	Future	Comment
5336	Clinton_1993_191	"If we just stay with the same trends of the last 4 years, by the end of the decade the deficit will be $635 billion a year, almost 80 percent of our gross domestic product."	1	1	
12983	Ford_1976_48	Friends and adversaries abroad were asking whether America had lost its nerve.	1	0	
8412	Coolidge_1923_288	"He represents a character, a type of citizenship, and a public necessity that must be preserved and afforded every facility for regaining prosperity."	1	1	
24977	Roosevelt_1905_232	"Yet, in speaking of economy, I must in no wise be understood as advocating the false economy which is in the end the worst extravagance."	0	1	
3994	Carter_1981_192	Our record has produced clear progress in the effort to solve some of the country's fundamental human and social problems.	1	0	
22876	Roosevelt_1901_172	"This means that we should require a more thorough system of inspection abroad and a more rigid system of examination at our immigration ports, the former being especially necessary."	0	1	
28361	Roosevelt_1939_12	"In a modern civilization, all three--religion, democracy and international good faith--complement and support each other."	0	0	General?
17473	Nixon_1970_111	"They live in the foothills of everyday experience, and it is time for all of us to concern ourselves with the way real people live in real life."	0	1	
9670	Coolidge_1926_427	They are useless if they are only visionary; they are only valuable if they are practical.	0	1	
3277	Carter_1978_51	We must continue the recovery and further cut unemployment and inflation.	0	1	
32932	Truman_1946_1256	They must not prevail.	0	1	
14211	Hoover_1929_354	"Indeed, these are the fundamental principles upon which our Government was founded, and they are the principles which have been adhered to in the whole development of our business structure, and they are the distillation of the common sense of generations."	1	0	
13289	Ford_1977_80	I am gratified by these accomplishments.	1	0	
30848	Taft_1911_612	"This commission was appointed and has been at work, holding hearings, gathering data, and considering the subject, and it is expected will be able to report by the first of the year, in accordance with the provisions of the law."	1	1	
18497	Obama_2010_31	They are tired of the partisanship and the shouting and the pettiness.	1	1	
27624	Roosevelt_1908_571	"In the stress of modern industrial competition no business firm could succeed if those responsible for its management were chosen simply on the ground that they were the oldest people in its employment; yet this is the course advocated as regards the Army, and required by law for all grades except those of general officer."	0	1	General?
4014	Carter_1981_212	The report signals the growing consensus that the Nation's health strategy must be refocused in the 1980's to emphasize the prevention of disease.	1	1	
34912	Trump_2017_25	"But then the quiet voices became a loud chorus, as thousands of citizens now spoke out together, from cities small and large, all across our country."	1	0	
30044	Taft_1909_373	The South especially is manifesting its interest in this movement.	0	1	Ongoing?
11722	Eisenhower_1958_42	"Even if we assume a surprise attack on our bases, with a marked reduction in our striking power, our bombers would immediately be on their way in sufficient strength to accomplish this mission of retaliation."	0	1	
9287	Coolidge_1926_44	"TAX REDUCTION  As a result of economy of administration by the Executive and of appropriation by the Congress, the end of this fiscal year will leave a surplus in the Treasury estimated at $383,000,000."	1	1	
26095	Roosevelt_1906_557	"This result has been brought about by Canadian and some other sealing vessels killing the female seals while in the water during their annual pilgrimage to and from the south, or in search of food."	1	0	
27138	Roosevelt_1908_85	"To accomplish this, means of course a certain increase in the use of--not the creation of--power, by the Central Government."	0	1	General?
8624	Coolidge_1924_136	NATIONAL ELECTIONS  Nothing is so fundamental to the integrity of a republican form of government as honesty in all that relates to the conduct of elections.	0	0	
10112	Coolidge_1927_432	Our financial favors are widespread.	0	0	
23952	Roosevelt_1903_238	The Philippines should be knit closer to us by tariff arrangements.	0	1	
29458	Roosevelt_1945_123	"Since that time the Army has tried to raise the additional 10,000."	1	0	
35107	Trump_2017_220	We will always honor their memory.	1	1	
2179	Bush_2005_62	"With each passing year, fewer workers are paying ever- higher benefits to an ever-larger number of retirees."	1	1	Ongoing?
34600	Truman_1953_142	"Our whole moral position, our leadership in the free world today, is fortified by that fact."	1	0	
8864	Coolidge_1925_99	TAXATION  The purpose of reducing expenditures is to secure a reduction in taxes.	0	0	General?
28937	Roosevelt_1942_148	We can well say that our men on the fighting fronts have already proved that Americans today are just as rugged and just as tough as any of the heroes whose exploits we celebrate on the Fourth of July.	1	0	
19566	Obama_2012_277	A return to the American values of fair play and shared responsibility will help us protect our people and our economy.	1	1	
28108	Roosevelt_1937_37	I do not suggest that every farm family has the capacity to earn a satisfactory living on its own farm.	0	0	
23178	Roosevelt_1901_474	"Above all, gunnery practice should be unceasing."	0	1	
25661	Roosevelt_1906_123	"Be it remembered, furthermore, that the individuals who, whether from folly, from evil temper, from greed for office, or in a spirit of mere base demagogy, indulge in the inflammatory and incendiary speeches and writings which tend to arouse mobs and to bring about lynching, not only thus excite the mob, but also tend by what criminologists call ""suggestion,"" greatly to increase the likelihood of a repetition of the very crime against which they are inveighing."	1	1	General?
3331	Carter_1978_105	"As the economy continues to gain strength and as our unemployment rates continue to fall, revenues will grow."	0	1	Ongoing?
26611	Roosevelt_1907_410	"We have made a beginning in forest preservation, but it is only a beginning."	1	1	
11764	Eisenhower_1958_84	"The productivity, the adaptability of the American economy is the solid foundation-stone of our security structure."	0	0	General?
15914	Johnson_1968_82	"We ask now, not how can we achieve abundance?--but how shall we use our abundance?"	0	1	
31158	Taft_1912_213	"In the matter of the claim of John Celestine Landreau against the Government of Peru, which claim arises out of certain contracts and transactions in connection with the discovery and exploitation of guano, and which has been under discussion between the two Governments since 1874, I am glad to report that as the result of prolonged negotiations, which have been characterized by the utmost friendliness and good will on both sides, the Department of State has succeeded in securing the consent of Peru to the arbitration of the claim, and that the negotiations attending the drafting and signature of a protocol submitting the claim to an arbitral tribunal are proceeding with due celerity."	1	1	
23129	Roosevelt_1901_425	"In other words, it is really a guaranty of the commercial independence of the Americas."	0	1	
21246	Reagan_1982_192	"Now, some of those I met with were a little surprised that I didn't apologize for America's wealth."	1	0	
22667	Reagan_1988_190	But let's have no illusions.	0	0	
32084	Truman_1946_408	"For example, the kinds of tax measures we have at different times--whether we raise our revenue in a way to encourage consumer spending and business investment or to discourage it--have a vital bearing on this question."	0	0	General?
22505	Reagan_1988_28	"And if we will work together this year, I believe we can give a future President and a future Congress the chance to make that prosperity, that peace, that freedom not just the state of our Union but the state of our world."	0	1	
27216	Roosevelt_1908_163	"On the whole there is no body of public servants who do as valuable work, nor whose moneyed reward is so inadequate compared to their work."	0	0	
2860	Bush_2007_228	"Americans can have confidence in the outcome of this struggle, because we are not in this struggle alone."	0	1	
27983	Roosevelt_1936_83	"I spoke of the rulers of the exchanges of mankind's goods, who failed through their own stubbornness and their own incompetence."	1	0	
8969	Coolidge_1925_204	We have more at stake than any one else in avoiding a repetition of that calamity.	1	1	
19464	Obama_2012_175	"After all, innovation is what America has always been about."	1	0	
30568	Taft_1911_332	FUR-SEAL TREATY.			NAS
3600	Carter_1979_123	"If the Soviet Union continues to negotiate in good faith, a responsible SALT agreement will be reached."	0	1	
4645	Carter_1981_843	Expiration of the Food and Agriculture Act of 1977 later this year will require early attention by the Congress.	1	1	
35173	Trump_2017_286	The time for small thinking is over.	1	1	
35938	Wilson_1915_158	"It seems to me a clear dictate of prudent statesmanship and frank finance that in what we are now, I hope, about to undertake we should pay as we go."	0	1	
32803	Truman_1946_1127	I hope it will be continued and expanded.	0	1	
29797	Taft_1909_126	"After a thorough examination of the Conventions and of the several contextual documents, the Secretary of State reached the conclusion that no such monopoly was intended or accomplished."	1	0	
21440	Reagan_1983_129	"After 2 years of debate, it's time for us to get together and enact a port modernization bill."	1	1	
18719	Obama_2010_253	"I agree, which is why this freeze will not take effect until next year, when the economy is stronger."	0	1	
33725	Truman_1950_35	Our tremendous strength has brought with it tremendous responsibilities.	0	1	
2770	Bush_2007_138	They want to overthrow moderate governments and establish safe havens from which to plan and carry out new attacks on our country.	0	1	
33420	Truman_1948_188	Our efforts to reach agreements on peace settlements for these countries have so far been blocked.	1	1	Ongoing?
32800	Truman_1946_1124	The lands involved in this program can contribute fully to the national welfare only when brought into the national forest system for protection and development.	0	1	
19069	Obama_2011_194	South Korean homes now have greater Internet access than we do.	0	0	
32605	Truman_1946_929	Heavy purchases by the banks were necessary to provide adequate funds to finance war expenditures.	1	0	
25517	Roosevelt_1905_772	Unless the Congress shall appropriate before that time all work must cease.	0	1	
21607	Reagan_1984_32	Send away the handwringers and the doubting Thomases.	0	1	
25638	Roosevelt_1906_100	"Evil will surely come in the end to both races if we substitute for this just rule the habit of treating all the members of the race, good and bad, alike."	0	1	
3605	Carter_1979_128	SALT II does not rely on trust; it will be verifiable.	0	1	
33564	Truman_1949_58	This means that the Government must adapt its plans and policies to meet changing circumstances.	0	1	
23462	Roosevelt_1902_79	"If it prove impossible to ratify the pending treaties, and if there seem to be no warrant for the endeavor to execute others, or to amend the pending treaties so that they can be ratified, then the same end--to secure reciprocity--should be met by direct legislation."	0	1	
36132	Wilson_1917_75	No representative of any self-governed nation will dare disregard it by attempting any such covenants of selfishness and compromise as were entered into at the Congress of Vienna.	1	1	
9872	Coolidge_1927_192	"Price fixing and subsidy will both increase the surplus, instead of diminishing it."	0	1	
4356	Carter_1981_554	The Federal government will need to develop more innovative and practical ways for neighborhood based organizations to successfully participate in the identification and solution of local and neighborhood concerns.	0	1	
26077	Roosevelt_1906_539	"This Government would be glad to see an international consideration of the subject which shall discriminate between such cases and the simple nonperformance of a contract with a private person, and a resolution in favor of reliance upon peaceful means in cases of the latter class."	0	1	
6989	Clinton_1998_32	"You can all be proud of that, because turning a sea of red ink into black is no miracle."	0	0	
7969	Clinton_2000_255	"Global Change and American Leadership  To realize the full possibilities of the new economy, we must reach beyond our own borders, to shape the revolution that is tearing down barriers and building new networks among nations and individuals, economies and cultures: globalization."	0	1	
18971	Obama_2011_96	That's what helped make possible things like computer chips and GPS.	1	0	
10364	Coolidge_1928_237	IRRIGATION OF ARID LANDS  For many years the Federal Government has been committed to the wise policy of reclamation and irrigation.	1	0	
19449	Obama_2012_160	"Let's also remember that hundreds of thousands of talented, hardworking students in this country face another challenge: The fact that they aren't yet American citizens."	0	1	
10247	Coolidge_1928_120	It is doubtful if the peak of expenditures will be reached even under present legislation for sonic time yet to come.	0	1	
32484	Truman_1946_808	The total includes net outlays of Government corporations.	0	0	
10824	Eisenhower_1955_43	We must continue to support and strengthen the United Nations.	0	1	Ongoing?
16734	Kennedy_1963_175	"Nevertheless, while a strain is not a fracture, it is clear that the forces of diversity are at work inside the Communist camp, despite all the iron disciplines of regimentation and all the iron dogmatisms of ideology."	0	0	Ongoing?
6139	Clinton_1995_334	It prohibits financial transactions with these groups.	0	1	
3783	Carter_1980_145	"And fifth, we must use the decade of the 1980's to attack the basic structural weaknesses and problems in our economy through measures to increase productivity, savings, and investment."	0	1	
9980	Coolidge_1927_300	Complete reports of what is required will undoubtedly be available early in the session.	0	1	
30843	Taft_1911_607	"The amount of the awards ought, as a matter of good faith on the part of the Government, to be paid."	0	1	
24176	Roosevelt_1903_462	"Had it not been for the exercise by the United States of the police power in her interest, her connection with the Isthmus would have been sundered long ago."	1	0	
14927	Johnson_1964_87	VI.			NAS
19882	Obama_2013_175	"Real reform means establishing a responsible pathway to earned citizenship -- a path that includes passing a background check, paying taxes and a meaningful penalty, learning English, and going to the back of the line behind the folks trying to come here legally."	0	1	
21748	Reagan_1984_173	"Our children come first, and that's why I established a bipartisan National Commission on Excellence in Education, to help us chart a commonsense course for better education."	1	0	
11750	Eisenhower_1958_70	I now want to talk about the strength we need to win a different kind of war--one that has already been launched against us.	1	1	
353	Bush_1990_63	The money is there.	0	0	
16106	Johnson_1969_20	"Preschool education--Head Start--is already here to stay and, I think, so are the Federal programs that tonight are keeping more than a million and a half of the cream of our young people in the colleges and the universities of this country."	0	1	
5608	Clinton_1994_171	"Every year, fewer and fewer Americans even get to choose their doctors."	1	1	Ongoing?
31635	Taft_1912_690	"I earnestly recommend the appropriation at this session of such a sum as will enable the United States to construct a suitable building, install a governmental exhibit, and otherwise participate in the Panama-Pacific International Exposition in a manner commensurate with the dignity of a nation whose guests are to be the people of the world."	0	1	
29581	Roosevelt_1945_246	"And our task is not helped by stubborn partisanship, however understandable on the part of opposed internal factions."	0	1	
23486	Roosevelt_1902_103	It is of the highest importance that employer and employee alike should endeavor to appreciate each the viewpoint of the other and the sure disaster that will come upon both in the long run if either grows to take as habitual an attitude of sour hostility and distrust toward the other.	0	0	
